8074,FGF23
7098,TLR3
26191,PTPN22
718,C3
682,BSG
328,APEX1
3784,KCNQ1
10135,NAMPT
5460,POU5F1
7076,TIMP1
7298,TYMS
4088,SMAD3
598,BCL2L1
1387,CREBBP
5329,PLAUR
2260,FGFR1
2778,GNAS
196,AHR
3596,IL13
1756,DMD
11200,CHEK2
1586,CYP17A1
5888,RAD51
1490,CCN2
959,CD40LG
846,CASR
255738,PCSK9
7291,TWIST1
958,CD40
1017,CDK2
1191,CLU
1457,CSNK2A1
1803,DPP4
11093,ADAMTS13
1786,DNMT1
4763,NF1
1545,CYP1B1
6657,SOX2
1728,NQO1
100507436,MICA
3315,HSPB1
5580,PRKCD
4210,MEFV
2309,FOXO3
407040,MIR34A
1268,CNR1
3084,NRG1
5465,PPARA
2885,GRB2
1385,CREB1
60489,APOBEC3G
5111,PCNA
796,CALCA
108684022,LOC108684022
5295,PIK3R1
5328,PLAU
648,BMI1
4323,MMP14
354,KLK3
3559,IL2RA
2896,GRN
2155,F7
2308,FOXO1
1116,CHI3L1
2629,GBA
331,XIAP
6469,SHH
3308,HSPA4
3667,IRS1
860,RUNX2
867,CBL
57817,HAMP
7412,VCAM1
3593,IL12B
2022,ENG
7052,TGM2
998,CDC42
11186,RASSF1
7431,VIM
2200,FBN1
4049,LTA
90865,IL33
5027,P2RX7
3620,IDO1
8878,SQSTM1
7057,THBS1
3685,ITGAV
2212,FCGR2A
4297,KMT2A
948,CD36
10673,TNFSF13B
2056,EPO
811,CALR
5371,PML
2688,GH1
7048,TGFBR2
2312,FLG
116519,APOA5
7139,TNNT2
1544,CYP1A2
6927,HNF1A
4792,NFKBIA
4018,LPA
5806,PTX3
5156,PDGFRA
6285,S100B
6850,SYK
7430,EZR
23405,DICER1
7253,TSHR
5894,RAF1
2539,G6PD
2305,FOXM1
3689,ITGB2
3172,HNF4A
3600,IL15
4893,NRAS
22943,DKK1
2784,GNB3
6794,STK11
3240,HP
1050,CEBPA
2034,EPAS1
5566,PRKACA
8678,BECN1
285,ANGPT2
1589,CYP21A2
5591,PRKDC
567,B2M
268,AMH
3303,HSPA1A
7133,TNFRSF1B
6280,S100A9
4316,MMP7
7424,VEGFC
4160,MC4R
3956,LGALS1
406937,MIR145
7153,TOP2A
2214,FCGR3A
133,ADM
6615,SNAI1
2534,FYN
9518,GDF15
729230,CCR2
302,ANXA2
4854,NOTCH3
7517,XRCC3
2065,ERBB3
5950,RBP4
79001,VKORC1
30835,CD209
5624,PROC
1111,CHEK1
5159,PDGFRB
540,ATP7B
9021,SOCS3
6323,SCN1A
6401,SELE
10018,BCL2L11
4613,MYCN
1994,ELAVL1
11315,PARK7
1958,EGR1
5340,PLG
5021,OXTR
5300,PIN1
4157,MC1R
5053,PAH
3767,KCNJ11
7442,TRPV1
7046,TGFBR1
545,ATR
4683,NBN
3014,H2AFX
6403,SELP
5315,PKM
10855,HPSE
3932,LCK
4615,MYD88
23586,DDX58
7189,TRAF6
2272,FHIT
9365,KL
203228,C9orf72
652,BMP4
3350,HTR1A
4035,LRP1
875,CBS
5058,PAK1
864,RUNX3
2244,FGB
23621,BACE1
7128,TNFAIP3
5562,PRKAA1
174,AFP
4363,ABCC1
2078,ERG
4057,LTF
1019,CDK4
1280,COL2A1
153,ADRB1
4087,SMAD2
3674,ITGA2B
3375,IAPP
7172,TPMT
5080,PAX6
5478,PPIA
6935,ZEB1
8091,HMGA2
345,APOC3
2625,GATA3
820,CAMP
7077,TIMP2
1788,DNMT3A
2149,F2R
847,CAT
7341,SUMO1
135,ADORA2A
2521,FUS
7415,VCP
9314,KLF4
7137,TNNI3
1051,CEBPB
6662,SOX9
3115,HLA-DPB1
3570,IL6R
6868,ADAM17
7474,WNT5A
613,BCR
155,ADRB3
59067,IL21
7351,UCP2
6786,STIM1
6521,SLC4A1
6464,SHC1
1814,DRD3
2690,GHR
3066,HDAC2
2492,FSHR
4627,MYH9
1585,CYP11B2
216,ALDH1A1
5327,PLAT
4684,NCAM1
3329,HSPD1
7018,TF
4904,YBX1
22914,KLRK1
10631,POSTN
197,AHSG
3551,IKBKB
65018,PINK1
3456,IFNB1
2150,F2RL1
3566,IL4R
2243,FGA
6462,SHBG
6678,SPARC
6598,SMARCB1
6093,ROCK1
5428,POLG
6502,SKP2
5228,PGF
5741,PTH
1977,EIF4E
4072,EPCAM
551,AVP
1789,DNMT3B
947,CD34
5176,SERPINF1
7249,TSC2
6382,SDC1
7941,PLA2G7
4842,NOS1
3673,ITGA2
149233,IL23R
2162,F13A1
1555,CYP2B6
6256,RXRA
7295,TXN
2638,GC
2645,GCK
80339,PNPLA3
8856,NR1I2
125,ADH1B
8651,SOCS1
10599,SLCO1B1
2316,FLNA
7508,XPC
4852,NPY
768,CA9
801,CALM1
1548,CYP2A6
1536,CYBB
1045,CDX2
5172,SLC26A4
775,CACNA1C
8837,CFLAR
604,BCL6
1535,CYBA
6261,RYR1
2641,GCG
100124700,HOTAIR
5294,PIK3CG
898,CCNE1
4973,OLR1
9212,AURKB
4311,MME
5777,PTPN6
84876,ORAI1
2353,FOS
3312,HSPA8
4803,NGF
5610,EIF2AK2
6597,SMARCA4
50616,IL22
6275,S100A4
5617,PRL
4830,NME1
2735,GLI1
7514,XPO1
361,AQP4
7535,ZAP70
2158,F9
2113,ETS1
940,CD28
1139,CHRNA7
7037,TFRC
378938,MALAT1
2052,EPHX1
7486,WRN
7056,THBD
949,SCARB1
4221,MEN1
2876,GPX1
406906,MIR122
842,CASP9
6720,SREBF1
4914,NTRK1
7534,YWHAZ
3040,HBA2
3661,IRF3
358,AQP1
94025,MUC16
5914,RARA
6606,SMN1
5579,PRKCB
3592,IL12A
2811,GP1BA
7045,TGFBI
1410,CRYAB
5430,POLR2A
4771,NF2
1278,COL1A2
5770,PTPN1
2159,F10
283120,H19
4548,MTR
891,CCNB1
4595,MUTYH
7329,UBE2I
3297,HSF1
1030,CDKN2B
5788,PTPRC
2066,ERBB4
84868,HAVCR2
5467,PPARD
5175,PECAM1
50964,SOST
8517,IKBKG
3678,ITGA5
7080,NKX2-1
7150,TOP1
2547,XRCC6
60,ACTB
1508,CTSB
2266,FGG
684,BST2
1147,CHUK
3897,L1CAM
26291,FGF21
7273,TTN
462,SERPINC1
1113,CHGA
92140,MTDH
6198,RPS6KB1
695,BTK
10763,NES
5155,PDGFB
2289,FKBP5
121278,TPH2
55294,FBXW7
4804,NGFR
2956,MSH6
301,ANXA1
4653,MYOC
5310,PKD1
8795,TNFRSF10B
4915,NTRK2
5443,POMC
7345,UCHL1
2006,ELN
2597,GAPDH
4586,MUC5AC
1524,CX3CR1
1244,ABCC2
5604,MAP2K1
50507,NOX4
85480,TSLP
3418,IDH2
24,ABCA4
632,BGLAP
3579,CXCR2
59272,ACE2
28,ABO
1509,CTSD
4625,MYH7
103,ADAR
1000,CDH2
1969,EPHA2
7528,YY1
4322,MMP13
7520,XRCC5
240,ALOX5
3002,GZMB
4691,NCL
100133941,CD24
6778,STAT6
2194,FASN
3684,ITGAM
3358,HTR2C
350,APOH
590,BCHE
3611,ILK
6376,CX3CL1
3575,IL7R
27185,DISC1
6288,SAA1
5268,SERPINB5
4286,MITF
5727,PTCH1
1991,ELANE
1673,DEFB4A
3990,LIPC
8202,NCOA3
6776,STAT5A
3484,IGFBP1
3814,KISS1
773,CACNA1A
3133,HLA-E
7078,TIMP3
5069,PAPPA
102,ADAM10
10013,HDAC6
109504728,LOC109504728
3290,HSD11B1
2167,FABP4
4976,OPA1
249,ALPL
952,CD38
2705,GJB1
4878,NPPA
5335,PLCG1
284,ANGPT1
6279,S100A8
4602,MYB
8829,NRP1
406913,MIR126
9332,CD163
558,AXL
634,CEACAM1
3439,IFNA1
1361,CPB2
2904,GRIN2B
51741,WWOX
6928,HNF1B
2852,GPER1
3371,TNC
7186,TRAF2
3659,IRF1
100,ADA
3397,ID1
51284,TLR7
10630,PDPN
6716,SRD5A2
57379,AICDA
659,BMPR2
5972,REN
4552,MTRR
1394,CRHR1
4067,LYN
3716,JAK1
2717,GLA
1378,CR1
4041,LRP5
8314,BAP1
1236,CCR7
3925,STMN1
182,JAG1
2670,GFAP
3574,IL7
407006,MIR221
54790,TET2
8841,HDAC3
5581,PRKCE
2934,GSN
943,TNFRSF8
51561,IL23A
5590,PRKCZ
6010,RHO
7068,THRB
246778,IL27
2740,GLP1R
7035,TFPI
58,ACTA1
1020,CDK5
5167,ENPP1
9817,KEAP1
3973,LHCGR
10320,IKZF1
252995,FNDC5
1025,CDK9
6908,TBP
8877,SPHK1
110806263,LOC110806263
6591,SNAI2
7042,TGFB2
8862,APLN
655,BMP7
3880,KRT19
1437,CSF2
6833,ABCC8
23028,KDM1A
4306,NR3C2
1048,CEACAM5
5744,PTHLH
10664,CTCF
2833,CXCR3
10062,NR1H3
1812,DRD1
3491,CCN1
27161,AGO2
3159,HMGA1
4092,SMAD7
10273,STUB1
6690,SPINK1
9232,PTTG1
7494,XBP1
2057,EPOR
6441,SFTPD
79923,NANOG
3875,KRT18
5654,HTRA1
5742,PTGS1
5037,PEBP1
6573,SLC19A1
2626,GATA4
8850,KAT2B
1806,DPYD
1281,COL3A1
2,A2M
3624,INHBA
8737,RIPK1
578,BAK1
208,AKT2
2185,PTK2B
10399,RACK1
1294,COL7A1
7054,TH
7321,UBE2D1
5515,PPP2CA
8945,BTRC
641,BLM
3663,IRF5
8454,CUL1
5376,PMP22
2678,GGT1
2516,NR5A1
2130,EWSR1
5829,PXN
9131,AIFM1
2719,GPC3
2623,GATA1
6775,STAT4
1604,CD55
2776,GNAQ
2160,F11
5627,PROS1
406985,MIR200C
5320,PLA2G2A
407021,MIR29A
10397,NDRG1
59341,TRPV4
2073,ERCC5
7454,WAS
6777,STAT5B
6548,SLC9A1
7070,THY1
3676,ITGA4
4607,MYBPC3
3485,IGFBP2
2120,ETV6
7010,TEK
64135,IFIH1
975,CD81
6885,MAP3K7
834,CASP1
9575,CLOCK
2017,CTTN
8772,FADD
9971,NR1H4
1435,CSF1
1269,CNR2
668,FOXL2
4254,KITLG
2643,GCH1
5915,RARB
6117,RPA1
326,AIRE
8542,APOL1
64805,P2RY12
409,ARRB2
308,ANXA5
5423,POLB
9112,MTA1
407018,MIR27A
5901,RAN
7158,TP53BP1
27250,PDCD4
966,CD59
760,CA2
4179,CD46
4791,NFKB2
10643,IGF2BP3
2161,F12
6446,SGK1
7038,TG
6262,RYR2
9076,CLDN1
7166,TPH1
9978,RBX1
1612,DAPK1
5551,PRF1
1621,DBH
8038,ADAM12
43,ACHE
890,CCNA2
6530,SLC6A2
26762,HAVCR1
5292,PIM1
3655,ITGA6
10059,DNM1L
1861,TOR1A
406992,MIR210
6683,SPAST
1003,CDH5
2264,FGFR4
1634,DCN
546,ATRX
710,SERPING1
2169,FABP2
3572,IL6ST
4352,MPL
23476,BRD4
9927,MFN2
5354,PLP1
23410,SIRT3
80781,COL18A1
186,AGTR2
6390,SDHB
1392,CRH
2919,CXCL1
89,ACTN3
5649,RELN
11132,CAPN10
1021,CDK6
1910,EDNRB
107980440,LOC107980440
727,C5
5573,PRKAR1A
150,ADRA2A
3691,ITGB4
7039,TGFA
3838,KPNA2
4261,CIITA
10544,PROCR
488,ATP2A2
5045,FURIN
2246,FGF1
9173,IL1RL1
2395,FXN
8792,TNFRSF11A
6348,CCL3
11168,PSIP1
3554,IL1R1
8289,ARID1A
25939,SAMHD1
1514,CTSL
1672,DEFB1
29110,TBK1
9,NAT1
2324,FLT4
407008,MIR223
6890,TAP1
1500,CTNND1
8826,IQGAP1
2668,GDNF
1356,CP
246,ALOX15
7082,TJP1
6007,RHD
5144,PDE4D
572,BAD
283,ANG
3164,NR4A1
4194,MDM4
1978,EIF4EBP1
1649,DDIT3
5077,PAX3
3778,KCNMA1
3251,HPRT1
6817,SULT1A1
1072,CFL1
6869,TACR1
4317,MMP8
10406,WFDC2
4015,LOX
4361,MRE11
7337,UBE3A
624,BDKRB2
406986,MIR203A
4734,NEDD4
904,CCNT1
7507,XPA
